work_id,author_id,institution_id
https://openalex.org/W2124978267,https://openalex.org/A5023555924,https://openalex.org/I1850255
https://openalex.org/W2125431777,https://openalex.org/A5013110958,https://openalex.org/I63634437
https://openalex.org/W2125431777,https://openalex.org/A5084144549,https://openalex.org/I913958620
https://openalex.org/W2125431777,https://openalex.org/A5085120586,https://openalex.org/I63634437
https://openalex.org/W2126047658,https://openalex.org/A5024377495,https://openalex.org/I4210125804
https://openalex.org/W2126047658,https://openalex.org/A5027032021,https://openalex.org/I4210125804
https://openalex.org/W2126048208,https://openalex.org/A5029294958,https://openalex.org/I20121455
https://openalex.org/W2126048208,https://openalex.org/A5065688000,https://openalex.org/I20121455
https://openalex.org/W2126966164,https://openalex.org/A5015745192,https://openalex.org/I867280407
https://openalex.org/W2126966164,https://openalex.org/A5044527553,https://openalex.org/I867280407
