work_id,topic_id,score,is_primary
https://openalex.org/W2127408869,https://openalex.org/T11963,0.9528,False
https://openalex.org/W2187620470,https://openalex.org/T10101,0.9965,False
https://openalex.org/W2187620470,https://openalex.org/T10742,0.999,False
https://openalex.org/W2187620470,https://openalex.org/T11478,0.9999,True
https://openalex.org/W2200456437,https://openalex.org/T10152,0.9699,False
https://openalex.org/W2200456437,https://openalex.org/T10333,0.9978,True
https://openalex.org/W2200456437,https://openalex.org/T12388,0.9507,False
https://openalex.org/W2216250896,https://openalex.org/T14389,0.9073,True
https://openalex.org/W2224820783,https://openalex.org/T10750,0.9992,True
https://openalex.org/W2224820783,https://openalex.org/T11796,0.993,False
https://openalex.org/W2224820783,https://openalex.org/T11924,0.9929,False
https://openalex.org/W2243059945,https://openalex.org/T13394,0.8727,True
https://openalex.org/W2262225266,https://openalex.org/T10240,0.7776,False
https://openalex.org/W2262225266,https://openalex.org/T12330,0.7805,False
https://openalex.org/W2262225266,https://openalex.org/T12813,0.7979,True
https://openalex.org/W2264922306,https://openalex.org/T10870,0.9863,False
https://openalex.org/W2264922306,https://openalex.org/T11112,0.9482,False
https://openalex.org/W2264922306,https://openalex.org/T11189,0.9906,True
https://openalex.org/W2265602337,https://openalex.org/T13386,0.891,True
https://openalex.org/W2265602337,https://openalex.org/T13652,0.7763,False
https://openalex.org/W2265602337,https://openalex.org/T14342,0.7659,False
https://openalex.org/W2267226769,https://openalex.org/T13154,0.0105,False
https://openalex.org/W2267226769,https://openalex.org/T14235,0.0086,False
https://openalex.org/W2267226769,https://openalex.org/T14423,0.0184,True
https://openalex.org/W2268368070,https://openalex.org/T10893,0.0151,False
https://openalex.org/W2268368070,https://openalex.org/T12323,0.0518,True
https://openalex.org/W2268368070,https://openalex.org/T12375,0.0155,False
