work_id,referenced_work_id
https://openalex.org/W2003945840,https://openalex.org/W2028828604
https://openalex.org/W2003945840,https://openalex.org/W2063728452
https://openalex.org/W2003945840,https://openalex.org/W2069893602
https://openalex.org/W2003945840,https://openalex.org/W2081580037
https://openalex.org/W2003945840,https://openalex.org/W2081687495
https://openalex.org/W2004141181,https://openalex.org/W1535883728
https://openalex.org/W2004141181,https://openalex.org/W1830651116
https://openalex.org/W2004141181,https://openalex.org/W1952982039
https://openalex.org/W2004141181,https://openalex.org/W1967961674
https://openalex.org/W2004141181,https://openalex.org/W1968914004
https://openalex.org/W2004141181,https://openalex.org/W1974853432
https://openalex.org/W2004141181,https://openalex.org/W1979871929
https://openalex.org/W2004141181,https://openalex.org/W1986772215
https://openalex.org/W2004141181,https://openalex.org/W1987990823
https://openalex.org/W2004141181,https://openalex.org/W1997113432
https://openalex.org/W2004141181,https://openalex.org/W1997121148
https://openalex.org/W2004141181,https://openalex.org/W1997391195
https://openalex.org/W2004734111,https://openalex.org/W1540452763
https://openalex.org/W2004734111,https://openalex.org/W1550556908
https://openalex.org/W2004734111,https://openalex.org/W1575991717
https://openalex.org/W2004734111,https://openalex.org/W1591700029
https://openalex.org/W2004734111,https://openalex.org/W1880728758
https://openalex.org/W2004734111,https://openalex.org/W1986614871
https://openalex.org/W2004734111,https://openalex.org/W2091601575
https://openalex.org/W2004734111,https://openalex.org/W2122950723
https://openalex.org/W2004734111,https://openalex.org/W2160382135
https://openalex.org/W2004734111,https://openalex.org/W2162748423
https://openalex.org/W2004734111,https://openalex.org/W2292343152
https://openalex.org/W2004734111,https://openalex.org/W2292388917
https://openalex.org/W2035737547,https://openalex.org/W1976473019
https://openalex.org/W2035737547,https://openalex.org/W1978207558
https://openalex.org/W2035737547,https://openalex.org/W2001354866
https://openalex.org/W2035737547,https://openalex.org/W2027123918
https://openalex.org/W2035737547,https://openalex.org/W2032950049
https://openalex.org/W2035737547,https://openalex.org/W2034019506
https://openalex.org/W2035737547,https://openalex.org/W2035422995
https://openalex.org/W2035737547,https://openalex.org/W2086075465
https://openalex.org/W2036324385,https://openalex.org/W1500783230
https://openalex.org/W2036324385,https://openalex.org/W1502843684
https://openalex.org/W2036324385,https://openalex.org/W1506150625
https://openalex.org/W2036324385,https://openalex.org/W1512606196
https://openalex.org/W2036324385,https://openalex.org/W1524592120
https://openalex.org/W2036324385,https://openalex.org/W1527311855
https://openalex.org/W2036324385,https://openalex.org/W1530990745
https://openalex.org/W2036324385,https://openalex.org/W1586081719
https://openalex.org/W2036324385,https://openalex.org/W1596411082
https://openalex.org/W2036324385,https://openalex.org/W1600965248
https://openalex.org/W2036324385,https://openalex.org/W1605918204
https://openalex.org/W2036324385,https://openalex.org/W1606464343
https://openalex.org/W2036372021,https://openalex.org/W1970978614
https://openalex.org/W2036372021,https://openalex.org/W2026295971
https://openalex.org/W2036372021,https://openalex.org/W2052639976
https://openalex.org/W2036372021,https://openalex.org/W2275221898
https://openalex.org/W2036372021,https://openalex.org/W2323046964
https://openalex.org/W2036372021,https://openalex.org/W2757039142
https://openalex.org/W2036372021,https://openalex.org/W2795766078
https://openalex.org/W2036372021,https://openalex.org/W2797131251
https://openalex.org/W2036372021,https://openalex.org/W3092738296
https://openalex.org/W2036372021,https://openalex.org/W3112799461
https://openalex.org/W2036372021,https://openalex.org/W4285719527
https://openalex.org/W2036372021,https://openalex.org/W644325968
https://openalex.org/W2036568374,https://openalex.org/W1601755832
https://openalex.org/W2036568374,https://openalex.org/W1965292653
https://openalex.org/W2036568374,https://openalex.org/W1970396607
https://openalex.org/W2036568374,https://openalex.org/W1973014305
https://openalex.org/W2036568374,https://openalex.org/W1980703214
https://openalex.org/W2036568374,https://openalex.org/W1983432631
https://openalex.org/W2036568374,https://openalex.org/W1987565333
https://openalex.org/W2036568374,https://openalex.org/W1987773219
https://openalex.org/W2036568374,https://openalex.org/W1990195031
https://openalex.org/W2036568374,https://openalex.org/W1994645294
https://openalex.org/W2036568374,https://openalex.org/W1997198268
https://openalex.org/W2036568374,https://openalex.org/W1997734047
https://openalex.org/W2036653913,https://openalex.org/W1898806567
https://openalex.org/W2036653913,https://openalex.org/W1967405512
https://openalex.org/W2036653913,https://openalex.org/W2092905226
https://openalex.org/W2036653913,https://openalex.org/W2127999065
https://openalex.org/W2036653913,https://openalex.org/W2133530795
https://openalex.org/W2036653913,https://openalex.org/W2143856814
https://openalex.org/W2036904522,https://openalex.org/W1485463265
https://openalex.org/W2036904522,https://openalex.org/W1527434870
https://openalex.org/W2036904522,https://openalex.org/W1542753785
https://openalex.org/W2036904522,https://openalex.org/W1575423686
https://openalex.org/W2036904522,https://openalex.org/W1930022350
https://openalex.org/W2036904522,https://openalex.org/W1935731760
https://openalex.org/W2036904522,https://openalex.org/W1964549159
https://openalex.org/W2036904522,https://openalex.org/W1966507670
https://openalex.org/W2036904522,https://openalex.org/W1969714808
https://openalex.org/W2036904522,https://openalex.org/W1970700381
https://openalex.org/W2036904522,https://openalex.org/W1971874631
https://openalex.org/W2036904522,https://openalex.org/W1972673209
https://openalex.org/W2042512976,https://openalex.org/W2951078666
https://openalex.org/W2043073035,https://openalex.org/W1694289106
https://openalex.org/W2043073035,https://openalex.org/W1969241172
https://openalex.org/W2043073035,https://openalex.org/W1982201917
https://openalex.org/W2043073035,https://openalex.org/W1990077876
https://openalex.org/W2043073035,https://openalex.org/W2000601917
https://openalex.org/W2043073035,https://openalex.org/W2009896347
https://openalex.org/W2043073035,https://openalex.org/W2028485984
https://openalex.org/W2043073035,https://openalex.org/W2066775261
https://openalex.org/W2043073035,https://openalex.org/W2105226173
https://openalex.org/W2043073035,https://openalex.org/W2112984616
https://openalex.org/W2043073035,https://openalex.org/W2132075495
https://openalex.org/W2043073035,https://openalex.org/W2132796867
https://openalex.org/W2043075193,https://openalex.org/W116253160
https://openalex.org/W2043075193,https://openalex.org/W1923483341
https://openalex.org/W2043075193,https://openalex.org/W1972443454
https://openalex.org/W2043075193,https://openalex.org/W1975147386
https://openalex.org/W2043075193,https://openalex.org/W1997438419
https://openalex.org/W2043075193,https://openalex.org/W2012432066
https://openalex.org/W2043075193,https://openalex.org/W2015071169
https://openalex.org/W2043075193,https://openalex.org/W2024579555
https://openalex.org/W2043075193,https://openalex.org/W2026980434
https://openalex.org/W2043075193,https://openalex.org/W2028823348
https://openalex.org/W2043075193,https://openalex.org/W2030274299
https://openalex.org/W2043075193,https://openalex.org/W2032950285
https://openalex.org/W2043099890,https://openalex.org/W1515604089
https://openalex.org/W2043099890,https://openalex.org/W1545075719
https://openalex.org/W2043099890,https://openalex.org/W1546104083
https://openalex.org/W2043099890,https://openalex.org/W1569376948
https://openalex.org/W2043099890,https://openalex.org/W1580739140
https://openalex.org/W2043099890,https://openalex.org/W1751351476
https://openalex.org/W2043099890,https://openalex.org/W1965667505
https://openalex.org/W2043099890,https://openalex.org/W1975468458
https://openalex.org/W2043099890,https://openalex.org/W1975807214
https://openalex.org/W2043099890,https://openalex.org/W1982124017
https://openalex.org/W2043099890,https://openalex.org/W1985521960
https://openalex.org/W2043099890,https://openalex.org/W1991162789
https://openalex.org/W2043905963,https://openalex.org/W1618032065
https://openalex.org/W2043905963,https://openalex.org/W1965206250
https://openalex.org/W2043905963,https://openalex.org/W1980430406
https://openalex.org/W2043905963,https://openalex.org/W1987229933
https://openalex.org/W2043905963,https://openalex.org/W2022382184
https://openalex.org/W2043905963,https://openalex.org/W2053702558
https://openalex.org/W2043905963,https://openalex.org/W2061334972
https://openalex.org/W2043905963,https://openalex.org/W2061453150
https://openalex.org/W2043905963,https://openalex.org/W2083383173
https://openalex.org/W2063779415,https://openalex.org/W1598158804
https://openalex.org/W2063779415,https://openalex.org/W1967855645
https://openalex.org/W2063779415,https://openalex.org/W1971662801
https://openalex.org/W2063779415,https://openalex.org/W1973452314
https://openalex.org/W2063779415,https://openalex.org/W1982071446
https://openalex.org/W2063779415,https://openalex.org/W1982873024
https://openalex.org/W2063779415,https://openalex.org/W1997407445
https://openalex.org/W2063779415,https://openalex.org/W1999001566
https://openalex.org/W2063779415,https://openalex.org/W2005784538
https://openalex.org/W2063779415,https://openalex.org/W2009088139
https://openalex.org/W2063779415,https://openalex.org/W2011793738
https://openalex.org/W2063779415,https://openalex.org/W2013010457
https://openalex.org/W2064277454,https://openalex.org/W125369663
https://openalex.org/W2064277454,https://openalex.org/W1967364043
https://openalex.org/W2064277454,https://openalex.org/W1974745276
https://openalex.org/W2064277454,https://openalex.org/W1976151395
https://openalex.org/W2064277454,https://openalex.org/W1977423663
https://openalex.org/W2064277454,https://openalex.org/W1981189137
https://openalex.org/W2064277454,https://openalex.org/W1990073764
https://openalex.org/W2064277454,https://openalex.org/W1993839984
https://openalex.org/W2064277454,https://openalex.org/W1994703407
https://openalex.org/W2064277454,https://openalex.org/W2000244530
https://openalex.org/W2064277454,https://openalex.org/W2001261646
https://openalex.org/W2064277454,https://openalex.org/W2003324213
https://openalex.org/W2069051280,https://openalex.org/W1974789820
https://openalex.org/W2069051280,https://openalex.org/W1977497051
https://openalex.org/W2069051280,https://openalex.org/W2047440225
https://openalex.org/W2069051280,https://openalex.org/W2053994586
https://openalex.org/W2069051280,https://openalex.org/W2085338353
https://openalex.org/W2069051280,https://openalex.org/W7014225658
https://openalex.org/W2069174305,https://openalex.org/W1492804614
https://openalex.org/W2069174305,https://openalex.org/W19911284
https://openalex.org/W2069174305,https://openalex.org/W2487436600
https://openalex.org/W2069174305,https://openalex.org/W2914807819
https://openalex.org/W2069174305,https://openalex.org/W3016672020
https://openalex.org/W2069174305,https://openalex.org/W6600137073
https://openalex.org/W2070218629,https://openalex.org/W146309757
https://openalex.org/W2070218629,https://openalex.org/W1974364429
https://openalex.org/W2070218629,https://openalex.org/W1993813047
https://openalex.org/W2070218629,https://openalex.org/W1994559703
https://openalex.org/W2070218629,https://openalex.org/W2012899486
https://openalex.org/W2070218629,https://openalex.org/W2017772691
https://openalex.org/W2070218629,https://openalex.org/W2020041362
https://openalex.org/W2070218629,https://openalex.org/W2083762419
https://openalex.org/W2070218629,https://openalex.org/W2119229486
https://openalex.org/W2070218629,https://openalex.org/W2145950740
https://openalex.org/W2070218629,https://openalex.org/W2207867416
https://openalex.org/W2070218629,https://openalex.org/W2211943406
https://openalex.org/W2070233361,https://openalex.org/W1603759003
https://openalex.org/W2070233361,https://openalex.org/W169960492
https://openalex.org/W2070233361,https://openalex.org/W1870440239
https://openalex.org/W2070233361,https://openalex.org/W1963849235
https://openalex.org/W2070233361,https://openalex.org/W1980044217
https://openalex.org/W2070233361,https://openalex.org/W1988687075
https://openalex.org/W2070233361,https://openalex.org/W2019675160
https://openalex.org/W2070233361,https://openalex.org/W2096191746
https://openalex.org/W2070233361,https://openalex.org/W2118799448
https://openalex.org/W2070233361,https://openalex.org/W2119607964
https://openalex.org/W2070233361,https://openalex.org/W2125154264
https://openalex.org/W2070233361,https://openalex.org/W2140661818
https://openalex.org/W2083232324,https://openalex.org/W1654467375
https://openalex.org/W2083232324,https://openalex.org/W1694363227
https://openalex.org/W2083232324,https://openalex.org/W1965683014
https://openalex.org/W2083232324,https://openalex.org/W1976550676
https://openalex.org/W2083232324,https://openalex.org/W1976962626
https://openalex.org/W2083232324,https://openalex.org/W1979211264
https://openalex.org/W2083232324,https://openalex.org/W1983572995
https://openalex.org/W2083232324,https://openalex.org/W1984365796
https://openalex.org/W2083232324,https://openalex.org/W1989406472
https://openalex.org/W2083232324,https://openalex.org/W1998874674
https://openalex.org/W2083232324,https://openalex.org/W2003090409
https://openalex.org/W2083232324,https://openalex.org/W2006633893
https://openalex.org/W2084391519,https://openalex.org/W1483350500
https://openalex.org/W2084391519,https://openalex.org/W1489145497
https://openalex.org/W2084391519,https://openalex.org/W1519008651
https://openalex.org/W2084391519,https://openalex.org/W1523189699
https://openalex.org/W2084391519,https://openalex.org/W1539096485
https://openalex.org/W2084391519,https://openalex.org/W1587318259
https://openalex.org/W2084391519,https://openalex.org/W1604210388
https://openalex.org/W2084391519,https://openalex.org/W1673837423
https://openalex.org/W2084391519,https://openalex.org/W1969563526
https://openalex.org/W2084391519,https://openalex.org/W1979843815
https://openalex.org/W2084391519,https://openalex.org/W1982047106
https://openalex.org/W2084391519,https://openalex.org/W1982898258
https://openalex.org/W2094884831,https://openalex.org/W1579035659
https://openalex.org/W2094884831,https://openalex.org/W1973871612
https://openalex.org/W2094884831,https://openalex.org/W1982968867
https://openalex.org/W2094884831,https://openalex.org/W1983605684
https://openalex.org/W2094884831,https://openalex.org/W1999295168
https://openalex.org/W2094884831,https://openalex.org/W2023262730
https://openalex.org/W2094884831,https://openalex.org/W2025903736
